Employee_ID,Department,Age,Salary,Experience,Performance,Attrition,Risk_Level
1,Engineering,42,78598,1,60,No,Low Risk
2,Marketing,31,51886,16,74,No,Low Risk
3,HR,38,61327,2,63,Yes,High Risk
4,Engineering,33,49694,6,99,Yes,High Risk
5,Finance,39,32106,3,87,Yes,High Risk
6,Marketing,33,74967,10,70,No,Low Risk
7,Engineering,36,103856,15,87,No,Low Risk
8,HR,37,34518,6,97,No,Low Risk
9,Engineering,43,113828,16,96,No,Low Risk
10,Sales,27,119709,4,81,No,Low Risk
11,HR,35,37404,6,63,No,Low Risk
12,Engineering,25,85527,4,81,No,Low Risk
13,HR,53,35402,4,72,No,Low Risk
14,Sales,34,47233,3,87,No,Low Risk
15,HR,45,48689,19,52,No,Medium Risk
16,Marketing,39,86547,5,55,No,Medium Risk
17,Finance,51,30086,12,71,No,Low Risk
18,HR,27,53923,1,92,No,Low Risk
19,Marketing,42,78128,13,96,No,Low Risk
20,Finance,27,87344,11,79,Yes,High Risk
21,HR,28,88170,16,97,No,Low Risk
22,Finance,38,43850,11,90,No,Low Risk
23,Sales,32,37955,7,66,Yes,High Risk
24,Engineering,26,108791,15,47,Yes,High Risk
25,HR,44,90673,19,56,No,Medium Risk
26,Marketing,41,68205,8,63,No,Low Risk
27,Engineering,43,60876,4,60,No,Low Risk
28,Finance,31,38070,2,49,Yes,High Risk
29,Finance,33,32901,15,58,Yes,High Risk
30,Engineering,40,64035,17,64,No,Low Risk
31,Marketing,41,76423,17,84,No,Low Risk
32,Engineering,39,61067,10,80,No,Low Risk
33,Marketing,32,108450,5,98,No,Low Risk
34,Engineering,22,108595,1,67,No,Low Risk
35,Engineering,52,38036,10,66,No,Low Risk
36,Marketing,43,35730,4,64,No,Low Risk
37,Finance,54,82790,8,73,No,Low Risk
38,Sales,39,48056,13,98,No,Low Risk
39,HR,35,72824,1,48,No,Medium Risk
40,Finance,25,112442,15,51,No,Medium Risk
41,Marketing,53,75161,18,66,Yes,High Risk
42,Sales,54,31721,17,89,Yes,High Risk
43,HR,54,46724,8,44,No,Medium Risk
44,Engineering,37,75444,7,75,Yes,High Risk
45,Sales,42,39431,3,93,Yes,High Risk
46,HR,53,31473,8,61,No,Low Risk
47,HR,47,80567,2,84,Yes,High Risk
48,Finance,22,106797,1,53,No,Medium Risk
49,Engineering,54,55672,5,67,No,Low Risk
50,Finance,47,47968,6,52,No,Medium Risk
51,Marketing,24,76424,3,74,No,Low Risk
52,Engineering,52,40261,19,87,No,Low Risk
53,Marketing,39,39943,9,82,Yes,High Risk
54,Sales,28,104862,14,67,No,Low Risk
55,HR,44,82114,8,46,No,Medium Risk
56,HR,51,84547,2,94,No,Low Risk
57,Marketing,29,107262,17,81,Yes,High Risk
58,Marketing,50,44563,8,86,Yes,High Risk
59,HR,41,56263,11,60,No,Low Risk
60,HR,22,61447,2,60,No,Low Risk
61,Sales,29,90335,15,88,Yes,High Risk
62,Marketing,51,37992,12,54,No,Medium Risk
63,Sales,45,59999,13,96,No,Low Risk
64,HR,38,93266,18,84,No,Low Risk
65,HR,24,111120,17,84,No,Low Risk
66,Sales,34,61075,10,49,No,Medium Risk
67,Finance,32,57409,3,82,No,Low Risk
68,HR,37,84761,13,74,No,Low Risk
69,Marketing,54,77456,10,99,Yes,High Risk
70,Marketing,27,50989,4,48,No,Medium Risk
71,HR,49,38594,8,83,No,Low Risk
72,Engineering,38,30527,10,53,No,Medium Risk
73,Engineering,27,90409,13,61,Yes,High Risk
74,Marketing,41,53465,6,48,No,Medium Risk
75,HR,33,72081,8,53,No,Medium Risk
76,Sales,29,119651,9,88,No,Low Risk
77,Engineering,46,80175,19,98,No,Low Risk
78,Finance,54,69493,6,65,No,Low Risk
79,Engineering,49,67578,6,63,Yes,High Risk
80,Sales,22,55628,10,47,Yes,High Risk
81,HR,48,52839,10,98,No,Low Risk
82,Engineering,31,101046,5,76,No,Low Risk
83,Engineering,49,89263,7,72,No,Low Risk
84,HR,48,33860,18,91,No,Low Risk
85,Sales,45,63200,2,47,No,Medium Risk
86,Finance,47,36604,7,92,Yes,High Risk
87,HR,41,55786,3,92,No,Low Risk
88,Marketing,34,100721,14,57,Yes,High Risk
89,Sales,33,98178,2,76,No,Low Risk
90,HR,51,90183,5,52,Yes,High Risk
91,Finance,52,118600,19,70,No,Low Risk
92,Finance,53,47864,17,92,Yes,High Risk
93,Engineering,50,60006,15,52,No,Medium Risk
94,Sales,37,36096,19,42,No,Medium Risk
95,Engineering,42,104355,5,56,Yes,High Risk
96,HR,43,65861,3,66,No,Low Risk
97,Sales,42,73702,10,89,No,Low Risk
98,Engineering,52,78787,4,78,Yes,High Risk
99,HR,42,116639,9,45,No,Medium Risk
100,Engineering,42,116626,18,52,No,Medium Risk
101,Engineering,24,77785,5,72,Yes,High Risk
102,HR,34,74046,16,42,No,Medium Risk
103,Engineering,40,65529,3,69,No,Low Risk
104,Sales,35,71126,1,40,No,Medium Risk
